 Sun, 16 Dec 2018 23:49:52  INFO logger.py <module> [ line:23 ] hehehe
 Sun, 16 Dec 2018 23:50:23  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Sun, 16 Dec 2018 23:50:23  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//ul[@class='headNav clearfix']//a[text()='登录']
 Sun, 16 Dec 2018 23:50:23  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:23  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.33秒
 Sun, 16 Dec 2018 23:50:24  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：13819480751
 Sun, 16 Dec 2018 23:50:24  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@class='user mobile']
 Sun, 16 Dec 2018 23:50:24  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:24  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.19秒
 Sun, 16 Dec 2018 23:50:25  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：abc123
 Sun, 16 Dec 2018 23:50:25  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@name='paswrd']
 Sun, 16 Dec 2018 23:50:25  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:25  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Sun, 16 Dec 2018 23:50:25  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Sun, 16 Dec 2018 23:50:25  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:25  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Sun, 16 Dec 2018 23:50:25  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：/html/body/div[4]/div/div/div[2]/div/div[3]/div/div/img
 Sun, 16 Dec 2018 23:50:25  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Sun, 16 Dec 2018 23:50:25  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.10秒
 Sun, 16 Dec 2018 23:50:29  INFO BasePage.py get_verification_code [ line:232 ] 识别的验证码为：7694
 Sun, 16 Dec 2018 23:50:29  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：7694
 Sun, 16 Dec 2018 23:50:29  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
