 Tue, 18 Dec 2018 16:48:20  INFO logger.py <module> [ line:23 ] hehehe
 Tue, 18 Dec 2018 16:48:36  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Tue, 18 Dec 2018 16:48:36  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//ul[@class='headNav clearfix']//a[text()='登录']
 Tue, 18 Dec 2018 16:48:36  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:36  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Tue, 18 Dec 2018 16:48:37  INFO BasePage.py input_text [ line:149 ] =====执行输入操作======
输入的数据为：13819480751
 Tue, 18 Dec 2018 16:48:37  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@class='user mobile']
 Tue, 18 Dec 2018 16:48:37  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:37  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.06秒
 Tue, 18 Dec 2018 16:48:37  INFO BasePage.py input_text [ line:149 ] =====执行输入操作======
输入的数据为：abc123
 Tue, 18 Dec 2018 16:48:37  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@name='paswrd']
 Tue, 18 Dec 2018 16:48:37  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:37  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Tue, 18 Dec 2018 16:48:37  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Tue, 18 Dec 2018 16:48:37  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:37  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Tue, 18 Dec 2018 16:48:37  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：/html/body/div[4]/div/div/div[2]/div/div[3]/div/div/img
 Tue, 18 Dec 2018 16:48:37  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:37  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Tue, 18 Dec 2018 16:48:39  INFO BasePage.py get_verification_code [ line:234 ] 识别的验证码为：612
 Tue, 18 Dec 2018 16:48:39  INFO BasePage.py input_text [ line:149 ] =====执行输入操作======
输入的数据为：612
 Tue, 18 Dec 2018 16:48:39  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Tue, 18 Dec 2018 16:48:39  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:39  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Tue, 18 Dec 2018 16:48:39  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Tue, 18 Dec 2018 16:48:39  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@class='btn btn_c']
 Tue, 18 Dec 2018 16:48:39  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:39  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Tue, 18 Dec 2018 16:48:40  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Tue, 18 Dec 2018 16:48:40  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:40  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Tue, 18 Dec 2018 16:48:40  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：/html/body/div[4]/div/div/div[2]/div/div[3]/div/div/img
 Tue, 18 Dec 2018 16:48:40  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:40  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Tue, 18 Dec 2018 16:48:41  INFO BasePage.py get_verification_code [ line:234 ] 识别的验证码为：q217
 Tue, 18 Dec 2018 16:48:41  INFO BasePage.py input_text [ line:149 ] =====执行输入操作======
输入的数据为：q217
 Tue, 18 Dec 2018 16:48:41  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Tue, 18 Dec 2018 16:48:41  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:41  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Tue, 18 Dec 2018 16:48:41  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Tue, 18 Dec 2018 16:48:41  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@class='btn btn_c']
 Tue, 18 Dec 2018 16:48:41  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:41  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Tue, 18 Dec 2018 16:48:43  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Tue, 18 Dec 2018 16:48:43  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:43  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Tue, 18 Dec 2018 16:48:43  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：/html/body/div[4]/div/div/div[2]/div/div[3]/div/div/img
 Tue, 18 Dec 2018 16:48:43  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Tue, 18 Dec 2018 16:48:43  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
